,codes,id,id_region,insee,label,label_region,lat,lon,name,region,timezone,zip_code
0,"[{'type': 'CR-CI-CH', 'value': '0080-253914-BV'}]",stop_area:OCE:SA:80253914,admin:1187159extern,,Saarbrucken-Hbf (Saarbrücken),Saarbrücken,49.24065,6.990968,Saarbrucken-Hbf,Saarbrücken,Europe/Paris,
1,"[{'type': 'CR-CI-CH', 'value': '0087-677914-WE'}]",stop_area:OCE:SA:71116000,admin:346782extern,,Irun (Irun),Irun,43.339432,-1.801337,Irun,Irun,Europe/Paris,
2,"[{'type': 'CR-CI-CH', 'value': '0080-110684-00'}]",stop_area:OCE:SA:80110684,admin:4209936extern,,Frankfurt-am-Main-Hbf,Gallus,50.107216,8.66405,Frankfurt-am-Main-Hbf,Gallus,Europe/Paris,
3,"[{'type': 'CR-CI-CH', 'value': '0080-140087-BV'}]",stop_area:OCE:SA:80140087,admin:3286571extern,,Mannheim-Hbf,Schwetzingerstadt/Oststadt,49.479714,8.470079,Mannheim-Hbf,Schwetzingerstadt/Oststadt,Europe/Paris,
4,"[{'type': 'CR-CI-CH', 'value': '0080-142281-BV'}]",stop_area:OCE:SA:80142281,,,Karlsruhe-Hbf,,48.99439,8.400254,Karlsruhe-Hbf,,Europe/Paris,
5,"[{'type': 'CR-CI-CH', 'value': '0080-142778-BV'}]",stop_area:OCE:SA:80142778,,,Baden-Baden,,48.790281,8.191165,Baden-Baden,,Europe/Paris,
6,"[{'type': 'CR-CI-CH', 'value': '0080-142893-BV'}]",stop_area:OCE:SA:80142893,admin:452982extern,,Appenweier (Appenweier),Appenweier,48.541326,7.973672,Appenweier,Appenweier,Europe/Paris,
7,"[{'type': 'CR-CI-CH', 'value': '0080-142901-00'}]",stop_area:OCE:SA:80142901,admin:452980extern,,Legelshurst (Willstätt),Willstätt,48.558571,7.913724,Legelshurst,Willstätt,Europe/Paris,
8,"[{'type': 'CR-CI-CH', 'value': '0080-142919-00'}]",stop_area:OCE:SA:80142919,admin:452979extern,,Kork (Kehl),Kehl,48.570017,7.874009,Kork,Kehl,Europe/Paris,
9,"[{'type': 'CR-CI-CH', 'value': '0087-212910-WD'}]",stop_area:OCE:SA:80142927,admin:452979extern,,Kehl (Kehl),Kehl,48.576486,7.808005,Kehl,Kehl,Europe/Paris,
10,"[{'type': 'CR-CI-CH', 'value': '0071-793158-BV'}]",stop_area:OCE:SA:71793150,admin:345217extern,,Port-Bou (Portbou),Portbou,42.424467,3.15786,Port-Bou,Portbou,Europe/Paris,
11,"[{'type': 'CR-CI-CH', 'value': '0080-021402-BV'}]",stop_area:OCE:SA:80021402,,,Augsburg-Hbf,,48.365581,10.886756,Augsburg-Hbf,,Europe/Paris,
12,"[{'type': 'CR-CI-CH', 'value': '0080-251819-BV'}]",stop_area:OCE:SA:80251819,,,Trier-Hbf,,49.756761,6.652361,Trier-Hbf,,Europe/Paris,
13,"[{'type': 'CR-CI-CH', 'value': '0080-251850-BV'}]",stop_area:OCE:SA:80251850,,,Konz-Mitte,,0.0,0.0,Konz-Mitte,,Europe/Paris,
14,"[{'type': 'CR-CI-CH', 'value': '0080-251967-BV'}]",stop_area:OCE:SA:80251967,,,Perl,,0.0,0.0,Perl,,Europe/Paris,
15,"[{'type': 'CR-CI-CH', 'value': '0087-113209-BV'}]",stop_area:OCE:SA:87113209,admin:67685extern,93055,Pantin (Pantin),Pantin (93500),48.897776,2.400426,Pantin,Pantin,Europe/Paris,93500
16,"[{'type': 'CR-CI-CH', 'value': '0080-290346-BV'}]",stop_area:OCE:SA:80290346,admin:1107850extern,,Stuttgart,Stuttgart-Mitte,48.783622,9.180496,Stuttgart,Stuttgart-Mitte,Europe/Paris,
17,"[{'type': 'CR-CI-CH', 'value': '0080-291039-BV'}]",stop_area:OCE:SA:80291039,,,Ulm-Hbf,,48.399362,9.983192,Ulm-Hbf,,Europe/Paris,
18,"[{'type': 'CR-CI-CH', 'value': '0080-194258-BV'}]",stop_area:OCE:SA:80194258,,,Landau Hbf,,49.1976,8.12557,Landau Hbf,,Europe/Paris,
19,"[{'type': 'CR-CI-CH', 'value': '0083-002451-00'}]",stop_area:OCE:SA:83002451,admin:1552703extern,,Vercelli (Vercelli),Vercelli (13100),45.329112,8.414824,Vercelli,Vercelli,Europe/Paris,13100
20,"[{'type': 'CR-CI-CH', 'value': '0080-194324-BV'}]",stop_area:OCE:SA:80194324,admin:1250497extern,,WINDEN PFALZ (Winden),Winden,49.095415,8.122376,WINDEN PFALZ,Winden,Europe/Paris,
21,"[{'type': 'CR-CI-CH', 'value': '0080-196980-BV'}]",stop_area:OCE:SA:80196980,,,Kaiserslautern-Hbf,,49.43628,7.768563,Kaiserslautern-Hbf,,Europe/Paris,
22,"[{'type': 'CR-CI-CH', 'value': '0080-203471-00'}]",stop_area:OCE:SA:80203471,admin:54392extern,,Munchen-Hbf,Stadtbezirk 02 Ludwigsvorstadt-Isarvorstadt,48.140325,11.560415,Munchen-Hbf,Stadtbezirk 02 Ludwigsvorstadt-Isarvorstadt,Europe/Paris,
23,"[{'type': 'CR-CI-CH', 'value': '0080-143099-BV'}]",stop_area:OCE:SA:80143099,admin:452988extern,,Offenburg (Offenburg),Offenburg,48.476447,7.946696,Offenburg,Offenburg,Europe/Paris,
24,"[{'type': 'CR-CI-CH', 'value': '0080-143503-BV'}]",stop_area:OCE:SA:80143503,,,Freiburg-Breisgau,,47.997776,7.841564,Freiburg-Breisgau,,Europe/Paris,
25,"[{'type': 'CR-CI-CH', 'value': '0080-144139-00'}]",stop_area:OCE:SA:80144139,admin:311981extern,,Mullheim-Baden-Bf (Müllheim),Müllheim (Kernstadt),47.809686,7.60004,Mullheim-Baden-Bf,Müllheim (Kernstadt),Europe/Paris,
26,"[{'type': 'CR-CI-CH', 'value': '0080-144154-00'}]",stop_area:OCE:SA:80144154,admin:270514extern,,NEUENBURG BADEN (Neuenburg am Rhein),Neuenburg am Rhein,47.811638,7.562861,NEUENBURG BADEN,Neuenburg am Rhein,Europe/Paris,
27,"[{'type': 'CR-CI-CH', 'value': '0080-194035-BV'}]",stop_area:OCE:SA:80194035,admin:456995extern,,Neustadt (Weinstr) Hbf,Neustadt-Stadtmitte,49.350034,8.140647,Neustadt (Weinstr) Hbf,Neustadt-Stadtmitte,Europe/Paris,
28,"[{'type': 'CR-CI-CH', 'value': '0082-001008-BV'}]",stop_area:OCE:SA:82001000,admin:407489extern,,Luxembourg (Luxembourg),Luxembourg,49.59962,6.134022,Luxembourg,Luxembourg,Europe/Paris,
29,,stop_area:OCE:SA:82002370,admin:1074561extern,,Rodange (Mürlenbach),Mürlenbach,50.15101,6.580197,Rodange,Mürlenbach,Europe/Paris,
30,"[{'type': 'CR-CI-CH', 'value': '0082-006031-BV'}]",stop_area:OCE:SA:82006030,admin:1258887extern,,Bettembourg (Eckfeld),Eckfeld,50.116021,6.837894,Bettembourg,Eckfeld,Europe/Paris,
31,"[{'type': 'CR-CI-CH', 'value': '0082-009308-BV'}]",stop_area:OCE:SA:82009300,admin:1074561extern,,Petange (Mürlenbach),Mürlenbach,50.15426,6.616396,Petange,Mürlenbach,Europe/Paris,
32,"[{'type': 'CR-CI-CH', 'value': '0083-002022-BV'}]",stop_area:OCE:SA:83002022,admin:44251extern,,Bardonecchia-Stazione (Bardonecchia),Bardonecchia,45.07642,6.709629,Bardonecchia-Stazione,Bardonecchia,Europe/Paris,
33,"[{'type': 'CR-CI-CH', 'value': '0083-002048-BV'}]",stop_area:OCE:SA:83002048,admin:43955extern,,Oulx-Cesana-Clav-Sestri (Oulx),Oulx,45.038782,6.831533,Oulx-Cesana-Clav-Sestri,Oulx,Europe/Paris,
34,"[{'type': 'CR-CI-CH', 'value': '0083-002220-BV'}]",stop_area:OCE:SA:83002220,admin:43992extern,,Torino-Porta-Susa (Torino),Torino,45.073891,7.667504,Torino-Porta-Susa,Torino,Europe/Paris,
35,"[{'type': 'CR-CI-CH', 'value': '0087-113803-00'}]",stop_area:OCE:SA:87113803,admin:130492extern,93051,Yvris-Noisy-le-Grand (Noisy-le-Grand),Noisy-le-Grand (93160),48.823192,2.579815,Yvris-Noisy-le-Grand,Noisy-le-Grand,Europe/Paris,93160
36,"[{'type': 'CR-CI-CH', 'value': '0083-002485-00'}]",stop_area:OCE:SA:83002485,admin:44898extern,,Novara (Novara),Novara,45.450745,8.624939,Novara,Novara,Europe/Paris,
37,"[{'type': 'CR-CI-CH', 'value': '0083-016451-00'}]",stop_area:OCE:SA:83016451,,,Milano-Porta-Garibaldi,,0.0,0.0,Milano-Porta-Garibaldi,,Europe/Paris,
38,"[{'type': 'CR-CI-CH', 'value': '0087-756908-WI'}]",stop_area:OCE:SA:83045013,admin:42680extern,,Ventimiglia-Stazione (Ventimiglia),Ventimiglia,43.792175,7.609676,Ventimiglia-Stazione,Ventimiglia,Europe/Paris,
39,"[{'type': 'CR-CI-CH', 'value': '0087-187914-WS'}]",stop_area:OCE:SA:85000109,admin:1683619extern,,Basel-SBB (Basel),Basel,47.547029,7.589551,Basel-SBB,Basel,Europe/Paris,
40,"[{'type': 'CR-CI-CH', 'value': '0085-010033-BV'}]",stop_area:OCE:SA:85010033,admin:1685531extern,,Satigny (Satigny),Satigny (1242),46.214243,6.037536,Satigny,Satigny,Europe/Paris,1242
41,"[{'type': 'CR-CI-CH', 'value': '0085-010066-BV'}]",stop_area:OCE:SA:85010066,,,Vernier-Meyrin,,82.235852,18.452993,Vernier-Meyrin,,Europe/Paris,
42,"[{'type': 'CR-CI-CH', 'value': '0085-010082-BV'}]",stop_area:OCE:SA:85010082,admin:1685488extern,,Genève (Genève),Genève,46.21055,6.143156,Genève,Genève,Europe/Paris,
43,"[{'type': 'CR-CI-CH', 'value': '0087-715938-WS'}]",stop_area:OCE:SA:85011031,admin:1685174extern,,Vallorbe-Cff (Vallorbe),Vallorbe (1337),46.712222,6.370811,Vallorbe-Cff,Vallorbe,Europe/Paris,1337
44,"[{'type': 'CR-CI-CH', 'value': '0085-042150-BV'}]",stop_area:OCE:SA:85042150,admin:390662extern,68222,Travers (Muespach-le-Haut),Muespach-le-Haut (68640),47.54229,7.413054,Travers,Muespach-le-Haut,Europe/Paris,68640
45,"[{'type': 'CR-CI-CH', 'value': '0085-042218-BV'}]",stop_area:OCE:SA:85042218,admin:2787952extern,,Neuchâtel (Lörrach),Lörrach,47.596583,7.672112,Neuchâtel,Lörrach,Europe/Paris,
46,"[{'type': 'CR-CI-CH', 'value': '0085-043141-BV'}]",stop_area:OCE:SA:85043141,admin:1685495extern,,La Chaux-de-Fonds (La Chaux-de-Fonds),La Chaux-de-Fonds,47.098893,6.825575,La Chaux-de-Fonds,La Chaux-de-Fonds,Europe/Paris,
47,"[{'type': 'CR-CI-CH', 'value': '0085-043158-BV'}]",stop_area:OCE:SA:85043158,admin:1685495extern,,Crêt-du-Locle (le) (La Chaux-de-Fonds),La Chaux-de-Fonds,47.077734,6.78529,Crêt-du-Locle (le),La Chaux-de-Fonds,Europe/Paris,
48,"[{'type': 'CR-CI-CH', 'value': '0087-001479-BV'}]",stop_area:OCE:SA:87001479,admin:160818extern,93073,Aérop-C-de-Gaulle-2-TGV (Tremblay-en-France),Tremblay-en-France (93290),49.003608,2.571047,Aérop-C-de-Gaulle-2-TGV,Tremblay-en-France,Europe/Paris,93290
49,"[{'type': 'CR-CI-CH', 'value': '0087-009696-00'}]",stop_area:OCE:SA:87009696,admin:76340extern,37122,La Douzillère (Joué-lès-Tours),Joué-lès-Tours (37300),47.338632,0.653005,La Douzillère,Joué-lès-Tours,Europe/Paris,37300
50,"[{'type': 'CR-CI-CH', 'value': '0087-109306-00'}]",stop_area:OCE:SA:87109306,admin:58404extern,59350,Lille CHR (Lille),Lille (59000-59800),50.614542,3.035542,Lille CHR,Lille,Europe/Paris,59000;59800
51,"[{'type': 'CR-CI-CH', 'value': '0087-111278-00'}]",stop_area:OCE:SA:87111278,admin:9519extern,75117,Porte-de-Clichy (Paris),Paris 17e Arrondissement (75017),48.894071,2.314429,Porte-de-Clichy,Paris 17e Arrondissement,Europe/Paris,75017
52,"[{'type': 'CR-CI-CH', 'value': '0087-111849-BV'}]",stop_area:OCE:SA:87111849,admin:89553extern,77111,Marne-la-Vallée-Chessy. (Chessy),Chessy (77700),48.870599,2.782899,Marne-la-Vallée-Chessy.,Chessy,Europe/Paris,77700
53,"[{'type': 'CR-CI-CH', 'value': '0087-111864-00'}]",stop_area:OCE:SA:87111864,admin:287419extern,48016,Balsieges-Bourg (Balsièges),Balsièges (48000),44.482268,3.456858,Balsieges-Bourg,Balsièges,Europe/Paris,48000
54,"[{'type': 'CR-CI-CH', 'value': '0087-113001-00'}]",stop_area:OCE:SA:87113001,admin:7444extern,75056,Paris-Est (Paris),Paris (75001-75116),48.876573,2.359169,Paris-Est,Paris,Europe/Paris,75001;75116
55,"[{'type': 'CR-CI-CH', 'value': '0087-116749-00'}]",stop_area:OCE:SA:87116749,admin:1302682extern,77142,Villiers-Montbarbin (Crécy-la-Chapelle),Crécy-la-Chapelle (77580),48.863153,2.882985,Villiers-Montbarbin,Crécy-la-Chapelle,Europe/Paris,77580
56,"[{'type': 'CR-CI-CH', 'value': '0087-116772-00'}]",stop_area:OCE:SA:87116772,admin:1302682extern,77142,Crécy-la-Chapelle (Crécy-la-Chapelle),Crécy-la-Chapelle (77580),48.859542,2.905749,Crécy-la-Chapelle,Crécy-la-Chapelle,Europe/Paris,77580
57,"[{'type': 'CR-CI-CH', 'value': '0087-113217-BV'}]",stop_area:OCE:SA:87113217,admin:131216extern,93053,Noisy-le-Sec (Noisy-le-Sec),Noisy-le-Sec (93130),48.896705,2.45995,Noisy-le-Sec,Noisy-le-Sec,Europe/Paris,93130
58,"[{'type': 'CR-CI-CH', 'value': '0087-113407-BV'}]",stop_area:OCE:SA:87113407,admin:158667extern,93010,Bondy (Bondy),Bondy (93140),48.894384,2.478754,Bondy,Bondy,Europe/Paris,93140
59,"[{'type': 'CR-CI-CH', 'value': '0087-113472-00'}]",stop_area:OCE:SA:87113472,admin:162337extern,93062,Raincy-Villemom.-Montf (Le Raincy),Le Raincy (93340),48.88928,2.512076,Raincy-Villemom.-Montf,Le Raincy,Europe/Paris,93340
60,"[{'type': 'CR-CI-CH', 'value': '0087-113514-BV'}]",stop_area:OCE:SA:87113514,admin:162542extern,93032,Gagny (Gagny),Gagny (93220),48.883298,2.526951,Gagny,Gagny,Europe/Paris,93220
61,"[{'type': 'CR-CI-CH', 'value': '0087-113522-00'}]",stop_area:OCE:SA:87113522,admin:162542extern,93032,Chénay-Gagny (Gagny),Gagny (93220),48.87726,2.552627,Chénay-Gagny,Gagny,Europe/Paris,93220
62,"[{'type': 'CR-CI-CH', 'value': '0087-113696-00'}]",stop_area:OCE:SA:87113696,admin:130580extern,93064,Rosny-Bois-Perrier (Rosny-sous-Bois),Rosny-sous-Bois (93110),48.882706,2.481516,Rosny-Bois-Perrier,Rosny-sous-Bois,Europe/Paris,93110
63,"[{'type': 'CR-CI-CH', 'value': '0087-113704-00'}]",stop_area:OCE:SA:87113704,admin:130580extern,93064,Rosny-sous-Bois (Rosny-sous-Bois),Rosny-sous-Bois (93110),48.870739,2.48561,Rosny-sous-Bois,Rosny-sous-Bois,Europe/Paris,93110
64,"[{'type': 'CR-CI-CH', 'value': '0087-113712-00'}]",stop_area:OCE:SA:87113712,admin:109366extern,94033,Val-de-Fontenay (Fontenay-sous-Bois),Fontenay-sous-Bois (94120),48.857422,2.490435,Val-de-Fontenay,Fontenay-sous-Bois,Europe/Paris,94120
65,"[{'type': 'CR-CI-CH', 'value': '0087-113746-BV'}]",stop_area:OCE:SA:87113746,admin:109361extern,94052,Nogent-le-Perreux (Nogent-sur-Marne),Nogent-sur-Marne (94130),48.838723,2.494096,Nogent-le-Perreux,Nogent-sur-Marne,Europe/Paris,94130
66,"[{'type': 'CR-CI-CH', 'value': '0087-113779-00'}]",stop_area:OCE:SA:87113779,admin:106735extern,94017,Boullereaux-Champigny (Champigny-sur-Marne),Champigny-sur-Marne (94500),48.824965,2.511914,Boullereaux-Champigny,Champigny-sur-Marne,Europe/Paris,94500
67,"[{'type': 'CR-CI-CH', 'value': '0087-113795-BV'}]",stop_area:OCE:SA:87113795,admin:108300extern,94079,Villiers/M.-Plessis-Tr. (Villiers-sur-Marne),Villiers-sur-Marne (94350),48.823182,2.542343,Villiers/M.-Plessis-Tr.,Villiers-sur-Marne,Europe/Paris,94350
68,"[{'type': 'CR-CI-CH', 'value': '0087-141135-BV'}]",stop_area:OCE:SA:87141135,admin:1397161extern,54152,Blainville-Damelevières (Damelevières),Damelevières (54360),48.564891,6.386712,Blainville-Damelevières,Damelevières,Europe/Paris,54360
69,"[{'type': 'CR-CI-CH', 'value': '0087-141143-00'}]",stop_area:OCE:SA:87141143,admin:1424232extern,54383,Mont-sur-Meurthe (Mont-sur-Meurthe),Mont-sur-Meurthe (54360),48.559923,6.449831,Mont-sur-Meurthe,Mont-sur-Meurthe,Europe/Paris,54360
70,"[{'type': 'CR-CI-CH', 'value': '0087-141150-BV'}]",stop_area:OCE:SA:87141150,admin:88915extern,54329,Lunéville (Lunéville),Lunéville (54300),48.587971,6.497025,Lunéville,Lunéville,Europe/Paris,54300
71,"[{'type': 'CR-CI-CH', 'value': '0087-113845-00'}]",stop_area:OCE:SA:87113845,admin:162329extern,93077,Les Coquetiers (Villemomble),Villemomble (93250),48.892292,2.498348,Les Coquetiers,Villemomble,Europe/Paris,93250
72,"[{'type': 'CR-CI-CH', 'value': '0087-113852-00'}]",stop_area:OCE:SA:87113852,admin:162521extern,93057,Les Pavillons-sous-Bois (Les Pavillons-sous-Bois),Les Pavillons-sous-Bois (93320),48.902096,2.511424,Les Pavillons-sous-Bois,Les Pavillons-sous-Bois,Europe/Paris,93320
73,"[{'type': 'CR-CI-CH', 'value': '0087-113860-BV'}]",stop_area:OCE:SA:87113860,admin:162521extern,93057,Gargan (Les Pavillons-sous-Bois),Les Pavillons-sous-Bois (93320),48.908235,2.517144,Gargan,Les Pavillons-sous-Bois,Europe/Paris,93320
74,"[{'type': 'CR-CI-CH', 'value': '0087-113878-00'}]",stop_area:OCE:SA:87113878,admin:162329extern,93077,Allée-de-la-Tour-R.v. (Villemomble),Villemomble (93250),48.897528,2.506815,Allée-de-la-Tour-R.v.,Villemomble,Europe/Paris,93250
75,"[{'type': 'CR-CI-CH', 'value': '0087-113886-00'}]",stop_area:OCE:SA:87113886,admin:162566extern,93046,L'Abbaye (Livry-Gargan),Livry-Gargan (93190),48.922291,2.516879,L'Abbaye,Livry-Gargan,Europe/Paris,93190
76,"[{'type': 'CR-CI-CH', 'value': '0087-113894-00'}]",stop_area:OCE:SA:87113894,admin:162527extern,93071,Freinville-Sevran (Sevran),Sevran (93270),48.926611,2.519049,Freinville-Sevran,Sevran,Europe/Paris,93270
77,"[{'type': 'CR-CI-CH', 'value': '0087-115873-00'}]",stop_area:OCE:SA:87115873,admin:413193extern,77368,Champbenoist-Poigny (Poigny),Poigny (77160),48.545351,3.287074,Champbenoist-Poigny,Poigny,Europe/Paris,77160
78,"[{'type': 'CR-CI-CH', 'value': '0087-116012-BV'}]",stop_area:OCE:SA:87116012,admin:409480extern,77215,Gretz-Armainvilliers (Gretz-Armainvilliers),Gretz-Armainvilliers (77220),48.745705,2.728386,Gretz-Armainvilliers,Gretz-Armainvilliers,Europe/Paris,77220
79,"[{'type': 'CR-CI-CH', 'value': '0087-116020-00'}]",stop_area:OCE:SA:87116020,admin:403076extern,77350,Ozoir-la-Ferrière (Ozoir-la-Ferrière),Ozoir-la-Ferrière (77330),48.770714,2.689957,Ozoir-la-Ferrière,Ozoir-la-Ferrière,Europe/Paris,77330
80,"[{'type': 'CR-CI-CH', 'value': '0087-116038-00'}]",stop_area:OCE:SA:87116038,admin:403963extern,77390,Roissy-en-Brie (Roissy-en-Brie),Roissy-en-Brie (77680),48.795409,2.64987,Roissy-en-Brie,Roissy-en-Brie,Europe/Paris,77680
81,"[{'type': 'CR-CI-CH', 'value': '0087-116046-BV'}]",stop_area:OCE:SA:87116046,admin:402795extern,77169,Emerainville-Pontault-C (Émerainville),Émerainville (77184),48.806327,2.618231,Emerainville-Pontault-C,Émerainville,Europe/Paris,77184
82,"[{'type': 'CR-CI-CH', 'value': '0087-116079-00'}]",stop_area:OCE:SA:87116079,admin:80869extern,77493,Verneuil-l'Etang (Verneuil-l'Étang),Verneuil-l'Étang (77390),48.644845,2.824684,Verneuil-l'Etang,Verneuil-l'Étang,Europe/Paris,77390
83,"[{'type': 'CR-CI-CH', 'value': '0087-116087-00'}]",stop_area:OCE:SA:87116087,admin:412941extern,77317,Mormant (Mormant),Mormant (77720),48.613224,2.889501,Mormant,Mormant,Europe/Paris,77720
84,"[{'type': 'CR-CI-CH', 'value': '0087-116095-BV'}]",stop_area:OCE:SA:87116095,admin:1384426extern,77327,Nangis (Nangis),Nangis (77370),48.561488,3.01243,Nangis,Nangis,Europe/Paris,77370
85,"[{'type': 'CR-CI-CH', 'value': '0087-116103-BV'}]",stop_area:OCE:SA:87116103,admin:86609extern,77284,Meaux (Meaux),Meaux (77100),48.957489,2.874004,Meaux,Meaux,Europe/Paris,77100
86,"[{'type': 'CR-CI-CH', 'value': '0087-116111-BV'}]",stop_area:OCE:SA:87116111,admin:402614extern,77108,Chelles-Gournay (Chelles),Chelles (77500),48.874344,2.582521,Chelles-Gournay,Chelles,Europe/Paris,77500
87,"[{'type': 'CR-CI-CH', 'value': '0087-116137-00'}]",stop_area:OCE:SA:87116137,admin:409386extern,77260,Longueville (S.-et-M.) (Longueville),Longueville (77650),48.513505,3.249703,Longueville (S.-et-M.),Longueville,Europe/Paris,77650
88,"[{'type': 'CR-CI-CH', 'value': '0087-116160-BV'}]",stop_area:OCE:SA:87116160,admin:402221extern,77379,Provins (Provins),Provins (77160),48.555688,3.302864,Provins,Provins,Europe/Paris,77160
89,"[{'type': 'CR-CI-CH', 'value': '0087-116178-00'}]",stop_area:OCE:SA:87116178,admin:402234extern,77404,Ste-Colombe-Septveilles (Sainte-Colombe),Sainte-Colombe (77650),48.530169,3.257236,Ste-Colombe-Septveilles,Sainte-Colombe,Europe/Paris,77650
90,"[{'type': 'CR-CI-CH', 'value': '0087-116210-BV'}]",stop_area:OCE:SA:87116210,admin:409493extern,77470,Tournan (Tournan-en-Brie),Tournan-en-Brie (77220),48.739199,2.759416,Tournan,Tournan-en-Brie,Europe/Paris,77220
91,"[{'type': 'CR-CI-CH', 'value': '0087-116228-00'}]",stop_area:OCE:SA:87116228,admin:1377529extern,77229,Marles-en-Brie (La Houssaye-en-Brie),La Houssaye-en-Brie (77610),48.735413,2.869345,Marles-en-Brie,La Houssaye-en-Brie,Europe/Paris,77610
92,"[{'type': 'CR-CI-CH', 'value': '0087-116244-00'}]",stop_area:OCE:SA:87116244,admin:414478extern,77318,Mortcerf (Mortcerf),Mortcerf (77163),48.789345,2.907728,Mortcerf,Mortcerf,Europe/Paris,77163
93,"[{'type': 'CR-CI-CH', 'value': '0087-116269-00'}]",stop_area:OCE:SA:87116269,admin:1379446extern,77219,Guérard-Celle-sur-Morin (Guérard),Guérard (77580),48.810593,2.954529,Guérard-Celle-sur-Morin,Guérard,Europe/Paris,77580
94,"[{'type': 'CR-CI-CH', 'value': '0087-116277-00'}]",stop_area:OCE:SA:87116277,admin:1379512extern,77371,Faremoutiers-Pommeuse (Pommeuse),Pommeuse (77515),48.808507,2.993369,Faremoutiers-Pommeuse,Pommeuse,Europe/Paris,77515
95,"[{'type': 'CR-CI-CH', 'value': '0087-116285-00'}]",stop_area:OCE:SA:87116285,admin:408316extern,77320,Mouroux (Mouroux),Mouroux (77120),48.81355,3.043338,Mouroux,Mouroux,Europe/Paris,77120
96,"[{'type': 'CR-CI-CH', 'value': '0087-116293-BV'}]",stop_area:OCE:SA:87116293,admin:402741extern,77479,Vaires-Torcy (Vaires-sur-Marne),Vaires-sur-Marne (77360),48.875237,2.639711,Vaires-Torcy,Vaires-sur-Marne,Europe/Paris,77360
97,"[{'type': 'CR-CI-CH', 'value': '0087-116301-00'}]",stop_area:OCE:SA:87116301,admin:74354extern,77131,Coulommiers (Coulommiers),Coulommiers (77120),48.807768,3.08207,Coulommiers,Coulommiers,Europe/Paris,77120
98,"[{'type': 'CR-CI-CH', 'value': '0087-116319-00'}]",stop_area:OCE:SA:87116319,admin:403821extern,77464,Lagny-Thorigny (Thorigny-sur-Marne),Thorigny-sur-Marne (77400),48.882012,2.704124,Lagny-Thorigny,Thorigny-sur-Marne,Europe/Paris,77400
99,"[{'type': 'CR-CI-CH', 'value': '0087-116327-00'}]",stop_area:OCE:SA:87116327,admin:954547extern,77171,Esbly (Esbly),Esbly (77450),48.903035,2.81058,Esbly,Esbly,Europe/Paris,77450
100,"[{'type': 'CR-CI-CH', 'value': '0087-116400-BV'}]",stop_area:OCE:SA:87116400,admin:406915extern,77315,Montry-Condé (Montry),Montry (77450),48.890812,2.826251,Montry-Condé,Montry,Europe/Paris,77450
101,"[{'type': 'CR-CI-CH', 'value': '0087-116491-BV'}]",stop_area:OCE:SA:87116491,admin:86611extern,77475,Trilport (Trilport),Trilport (77470),48.960074,2.94938,Trilport,Trilport,Europe/Paris,77470
102,"[{'type': 'CR-CI-CH', 'value': '0087-116509-BV'}]",stop_area:OCE:SA:87116509,admin:87686extern,77084,Changis-St-Jean (Changis-sur-Marne),Changis-sur-Marne (77660),48.959334,3.025634,Changis-St-Jean,Changis-sur-Marne,Europe/Paris,77660
103,"[{'type': 'CR-CI-CH', 'value': '0087-116517-BV'}]",stop_area:OCE:SA:87116517,admin:409302extern,77183,La Ferté-sous-Jouarre (La Ferté-sous-Jouarre),La Ferté-sous-Jouarre (77260),48.950772,3.125433,La Ferté-sous-Jouarre,La Ferté-sous-Jouarre,Europe/Paris,77260
104,"[{'type': 'CR-CI-CH', 'value': '0087-116558-00'}]",stop_area:OCE:SA:87116558,admin:412851extern,77397,Nanteuil-Saacy (Saâcy-sur-Marne),Saâcy-sur-Marne (77730),48.973964,3.219546,Nanteuil-Saacy,Saâcy-sur-Marne,Europe/Paris,77730
105,"[{'type': 'CR-CI-CH', 'value': '0087-116566-BV'}]",stop_area:OCE:SA:87116566,admin:2953123extern,02555,Nogent-l'Artaud-Charly (Nogent-l'Artaud),Nogent-l'Artaud (02310),48.968768,3.322956,Nogent-l'Artaud-Charly,Nogent-l'Artaud,Europe/Paris,02310
106,"[{'type': 'CR-CI-CH', 'value': '0087-116574-00'}]",stop_area:OCE:SA:87116574,admin:1740406extern,02186,Chézy-sur-Marne (Chézy-sur-Marne),Chézy-sur-Marne (02570),48.991848,3.364311,Chézy-sur-Marne,Chézy-sur-Marne,Europe/Paris,02570
107,"[{'type': 'CR-CI-CH', 'value': '0087-116582-BV'}]",stop_area:OCE:SA:87116582,admin:74171extern,02168,Château-Thierry (Château-Thierry),Château-Thierry (02400),49.038167,3.409288,Château-Thierry,Château-Thierry,Europe/Paris,02400
108,"[{'type': 'CR-CI-CH', 'value': '0087-116616-BV'}]",stop_area:OCE:SA:87116616,admin:86616extern,77231,Isles-Armentières-Cong. (Isles-les-Meldeuses),Isles-les-Meldeuses (77440),48.998074,3.007111,Isles-Armentières-Cong.,Isles-les-Meldeuses,Europe/Paris,77440
109,"[{'type': 'CR-CI-CH', 'value': '0087-116632-BV'}]",stop_area:OCE:SA:87116632,admin:76387extern,77257,Lizy-sur-Ourcq (Lizy-sur-Ourcq),Lizy-sur-Ourcq (77440),49.021542,3.031614,Lizy-sur-Ourcq,Lizy-sur-Ourcq,Europe/Paris,77440
